model consumption,emissions,energylabel
Opel Astra,MY15,1.4,Turbo,140,Cv,M6,5.7,134,B
Opel Astra,MY15,1.6,115,Cv,M5,6.6,154,C
Opel Astra,MY15,1.6,CDTI,Start,&,Stop,110,Cv,M6,3.7,97,A
Opel Astra,MY15,1.6,CDTI,Start,&,Stop,136,Cv,M6,3.9,104,A
Opel Astra,MY15,1.6,Turbo,Start,&,Stop,170,Cv,M6,5.9,139,B
Opel Astra,MY15'5,1.4,Turbo,GLP,140,Cv,M6,7.66,117,NA
Opel Astra,NG,1.0,Turbo,Start,&,Stop,105,Cv,M5,4.4,102,A
Opel Astra,NG,1.0,Turbo,Start,&,Stop,105,Cv,M5,4.5,104,A
Opel Astra,NG,1.0,Turbo,Start,&,Stop,105,Cv,M5,4.3,99,A
Opel Astra,NG,1.0,Turbo,Start,&,Stop,105,Cv,MTA4.3,99,A
Opel Astra,NG,1.0,Turbo,Start,&,Stop,105,Cv,MTA4.5,104,A
Opel Astra,NG,1.4,Turbo,Start,&,Stop,125,Cv,M6,5.1,117,A
Opel Astra,NG,1.4,Turbo,Start,&,Stop,150,Cv,A6,5.5,127,B
Opel Astra,NG,1.4,Turbo,Start,&,Stop,150,Cv,M6,5.1,117,A
Opel Astra,NG,1.6,CDTI,110,Cv,M6,3.7,97,A
Opel Astra,NG,1.6,CDTI,136,Cv,A6,4.5,119,B
Opel Astra,NG,1.6,CDTI,95,Cv,3.7,97,A
Opel Astra,NG,1.6,CDTI,Start,&,Stop,136,Cv,M6,3.9,103,A
Opel Astra,NG,1.6,CDTI,Start,&,Stop,160,Cv,M6,4.2,111,B
Opel Astra,NG,1.6,Turbo,Start,&,Stop,200,Cv,M6,6.2,142,C
Opel Astra,NG,1.6,Turbo,Start,&,Stop,200,Cv,M6,6.1,141,C
Opel Astra,NG,MY16,1.6,Turbo,Start,&,Stop,200,Cv,M6,6,139,C
Opel Astra,NG,MY17´5,1.6,Turbo,Start,&,Stop,200,Cv,M6,6.1,141,C
Opel Astra,NG,MY18,1.0,Turbo,Start,&,Stop,105,Cv,M5,4.4,102,A
Opel Astra,NG,MY18,1.0,Turbo,Start,&,Stop,105,Cv,MTA4.5,104,A
Opel Astra,Sedán,"1.7,CDTI,110,Cv,M6,,4.7,123,B
Opel Astra,Sedán,"1.7,CDTi,130,Cv,M6,,4.7,123,B
Opel Astra,Sedán,"1.7,CDTi,Start,&,Stop110,Cv,M6,,4.4,117,B
Opel Astra,Sedán,"1.7,CDTi,Start,&,Stop130,Cv,M6,,4.4,117,B
Opel Astra,Sedán,"1.7,CDTi,Start,&,Stop,110,Cv,M6,,4.3,114,A
Opel Astra,Sedán,"1.7,CDTi,Start,&,Stop,130,Cv,M6,,4.3,114,A
Opel Astra,Sedán,1.4,Turbo,140,Cv,A6,6.7,157,C
Opel Astra,Sedán,1.4,Turbo,140,Cv,M6,6.2,146,B
Opel Astra,Sedán,1.4,Turbo,GLP,140,Cv,M6,8.6,131,NA
Opel Astra,Sedán,1.6,115,Cv,M5,6.4,151,B
Opel Astra,Sedán,1.6,CDTI,136,Cv,AT6,5.1,134,C
Opel Astra,Sedán,1.6,CDTI,Start,&,Stop,110,Cv,M6,3.7,97,A
Opel Astra,Sedán,1.6,CDTI,Start,&,Stop,110,Cv,M6,,4.1,109,A
Opel Astra,Sedán,1.6,CDTI,Start,&,Stop,110,Cv,M6,,3.6,94,A
Opel Astra,Sedán,1.6,CDTI,Start,&,Stop,136,Cv,M6,3.9,104,A
Opel Astra,Sedán,1.6,CDTI,Start,&,Stop,136,Cv,M6,,4.4,116,B
Opel Astra,Sedán,1.6,CDTI,Start,&,Stop,136,Cv,M6,,3.7,99,A
Opel Astra,Sedán,1.7,CDTi,110,Cv,M6,4.5,119,B
Opel Astra,Sedán,1.7,CDTi,130,Cv,M6,4.5,119,B
Opel Astra,Sedán,1.7,CDTi,Start,&,Stop110,Cv,M6,4.3,114,A
Opel Astra,Sedán,1.7,CDTi,Start,&,Stop130,Cv,M6,4.3,114,A
Opel Astra,Sedán,1.7,CDTi,Start,&,Stop,110,Cv,M6,4.2,110,A
Opel Astra,Sedán,1.7,CDTi,Start,&,Stop,130,Cv,M6,4.2,110,A
Opel Astra,Sedan,MY10,1.6,16v,115,Cv,M5,6.6,158,C
Opel Astra,Sedan,MY10,1.6,16v,115,Cv,M5,,6.7,159,C
Opel Astra,Sedan,MY10,1.7,CDTI,100,Cv,M6,4.5,119,B
Opel Astra,Sedan,MY10,1.8,16v,140,Cv,M6,7.1,169,D
Opel Astra,Sedan,MY10,1.8,16v,140,Cv,M6,,7.2,172,D
Opel Astra,Sedan,MY10,1.8,16v,140,Cv,MTA7.8,186,E
Opel Astra,Sedan,MY10,1.8,16v,140,Cv,MTA,,7.9,189,E
Opel Astra,Sedan,MY12,1.6,16v,115,Cv,M5,6.2,146,C
Opel Astra,Sedan,MY12,1.7,CDTI,110,Cv,M6,5.1,135,C
Opel Astra,Sedán,MY13,"1.4,Turbo,140,Cv,M6,,6.2,144,B
Opel Astra,Sedán,MY13,1.4,Turbo,140,Cv,M6,5.9,139,B
Opel Astra,Sedán,MY13,1.6,115,Cv,M5,6.6,154,C
Opel Astra,Sedan,MY135,1.6,115,Cv,M5,6.3,147,B
Opel Astra,Sedan,MY14,"1.4,Turbo,140,Cv,A6,,6.8,159,C
Opel Astra,Sedan,MY14,"1.4,Turbo,140,Cv,M6,,6.1,144,B
Opel Astra,Sedan,MY14,1.4,Turbo,140,Cv,A6,6.6,154,C
Opel Astra,Sedan,MY14,1.4,Turbo,140,Cv,M6,5.9,138,B
Opel Astra,Sedan,MY15,"1.4,Turbo,140,Cv,A6,,6.6,154,C
Opel Astra,Sedan,MY15,"1.4,Turbo,140,Cv,M6,,6,142,B
Opel Astra,Sedan,MY15,"1.6,CDTI,Start,&,Stop,110,Cv,M6,,3.8,100,A
Opel Astra,Sedan,MY15,"1.6,CDTI,Start,&,Stop,136,Cv,M6,,4.2,110,A
Opel Astra,Sedan,MY15,1.4,Turbo,140,Cv,A6,6.3,148,B
Opel Astra,Sedan,MY15,1.4,Turbo,140,Cv,M6,5.8,137,B
Opel Astra,Sedan,MY15,1.6,115,Cv,M5,6.6,154,C
Opel Astra,Sedan,MY15,1.6,CDTI,Start,&,Stop,110,Cv,M6,3.7,97,A
Opel Astra,Sedan,MY15,1.6,CDTI,Start,&,Stop,136,Cv,M6,3.9,104,A
Opel Astra,Sedan,MY15'5,1.4,Turbo,GLP,140,Cv,M6,13.46,117,NA
Opel Astra,Sedan,MY15'5,1.6,115,Cv,M5,6.7,158,C
Opel Astra,Sedan,MY15'5,1.6,CDTI,Start,&,Stop,110,Cv,M6,4,105,A
Opel Astra,Sedan,MY15'5,1.6,CDTI,Start,&,Stop,136,Cv,M6,4.2,111,A
Opel Astra,ST,"1.4,Turbo,140,Cv,A6,,6.7,156,C
Opel Astra,ST,"1.6,Turbo,180,Cv,M6,,6.9,161,C
Opel Astra,ST,"1.7,CDTI,110,Cv,M6,,4.7,124,B
Opel Astra,ST,"1.7,CDTI,130,Cv,M6,,4.7,124,B
Opel Astra,ST,"1.7,CDTI,Start,&,Stop110,Cv,M6,,4.5,119,B
Opel Astra,ST,"1.7,CDTI,Start,&,Stop,110,Cv,M6,,4.5,118,B
Opel Astra,ST,"1.7,CDTI,Start,&,Stop,130,Cv,M6,,4.5,118,B
Opel Astra,ST,"2.0,CDTI,165,Cv,A6,,5.7,152,D
Opel Astra,ST,"2.0,CDTI,165,Cv,M6,,5,133,B
Opel Astra,ST,"2.0,CDTI,Start,&,Stop,165,Cv,M6,,4.8,128,B
Opel Astra,ST,1.3,EoFlex,Start,&,Stop,95,Cv,M5,4.1,109,A
Opel Astra,ST,1.4,Turbo,140,Cv,A6,6.3,148,B
Opel Astra,ST,1.4,Turbo,140,Cv,M6,5.9,139,B
Opel Astra,ST,1.4,Turbo,140,Cv,M6,(llanta,19"),6.3,147,B
Opel Astra,ST,1.4,Turbo,140,Cv,M6,GLP,8.6,133,NA
Opel Astra,ST,1.6,115,Cv,M5,6.7,156,C
Opel Astra,ST,1.6,CDTI,Start,&,Stop,110,Cv,M6,4,105,A
Opel Astra,ST,1.6,CDTI,Start,&,Stop,110,Cv,M6,(CO2,97,gr),3.7,97,A
Opel Astra,ST,1.6,CDTI,Start,&,Stop,110,Cv,M6,,4.1,109,A
Opel Astra,ST,1.6,CDTI,Start,&,Stop,136,Cv,M6,4.2,111,A
Opel Astra,ST,1.6,CDTI,Start,&,Stop,136,Cv,M6,3.9,104,A
Opel Astra,ST,1.6,CDTI,Start,&,Stop,136,Cv,M6,,4.4,116,A
Opel Astra,ST,1.6,Turbo,180,Cv,M6,6.8,159,C
Opel Astra,ST,1.6,Turbo,Start,&,Stop,170,Cv,M6,6.5,152,B
Opel Astra,ST,1.7,CDTI,110,Cv,M6,4.5,120,B
Opel Astra,ST,1.7,CDTI,130,Cv,M6,4.5,120,B
Opel Astra,ST,1.7,CDTI,Start,&,Stop110,Cv,M6,4.4,117,A
Opel Astra,ST,1.7,CDTI,Start,&,Stop,110,Cv,M6,4.3,114,A
Opel Astra,ST,1.7,CDTI,Start,&,Stop,130,Cv,M6,4.3,114,A
Opel Astra,ST,2.0,CDTI,165,Cv,A6,5.6,148,C
Opel Astra,ST,2.0,CDTI,165,Cv,M6,4.9,129,B
Opel Astra,ST,2.0,CDTI,Start,&,Stop,165,Cv,M6,4.7,124,B
Opel Astra,ST,2.0,CDTI,Start,&,Stop,195,Cv,M6,5.1,134,C
Opel Astra,ST,MY10,1.6,16v,115,Cv,M5,6.6,158,D
Opel Astra,ST,MY10,1.7,CDTI,110,Cv,M6,4.5,119,C
Opel Astra,ST,MY10,1.9,CDTI,120,Cv,M6,5.6,149,E
Opel Astra,ST,MY11,2.0,CDTi,160cv,Aut,6,158,D
Opel Astra,ST,MY11,2.0,CDTi,160cv,M6,5.1,136,C
Opel Astra,ST,MY12,"1.4,Turbo,140,Cv,A6,,7,165,C
Opel Astra,ST,MY12,"1.4,Turbo,140,Cv,M6,,6.4,149,B
Opel Astra,ST,MY12,"1.7,CDTI,110,Cv,M6,,4.6,121,B
Opel Astra,ST,MY12,"1.7,CDTI,125,Cv,M6,,4.6,121,B
Opel Astra,ST,MY12,"1.7,CDTI,Start,&,Stop,130,Cv,M6,,4.5,119,B
Opel Astra,ST,MY12,"2.0,CDTI,165,Cv,M6,,5.1,136,C
Opel Astra,ST,MY12,1.4,Turbo,GLP,140,Cv,M6,15.14,132,NA
Opel Astra,ST,MY12,1.6,115,Cv,M5,6.4,149,B
Opel Astra,ST,MY12,1.7,CDTI,110,Cv,M6,4.5,119,B
Opel Astra,ST,MY12,1.7,CDTI,125,Cv,M6,4.5,119,B
Opel Astra,ST,MY12,1.7,CDTI,Start,&,Stop,110,Cv,M6,4.4,117,A
Opel Astra,ST,MY12,1.7,CDTI,Start,&,Stop,130,Cv,M6,4.4,117,A
Opel Astra,ST,MY12,2.0,CDTI,165,Cv,M6,5.1,134,C
Opel Astra,ST,MY13,"1.4,Turbo,140,Cv,M6,,6.3,149,B
Opel Astra,ST,MY13,1.4,Turbo,140,Cv,M6,6.1,144,B
Opel Astra,ST,MY14,"2.0,CDTI,165,Cv,A6,,6,158,D
Opel Astra,ST,MY14,1.4,Turbo,140,Cv,M6,GLP,8.6,132,NA
Opel Astra,ST,MY14,2.0,CDTI,165,Cv,A6,5.8,154,D
Opel Astra,ST,MY14'5,1.6,CDTI,Start,&,Stop,110,Cv,M6,3.7,97,A
Opel Astra,ST,MY14'5,1.6,CDTI,Start,&,Stop,110,Cv,M6,,3.8,100,A
Opel Astra,ST,MY14'5,1.6,CDTI,Start,&,Stop,136,Cv,M6,3.9,104,A
Opel Astra,ST,MY14'5,1.6,CDTI,Start,&,Stop,136,Cv,M6,,4.2,110,A
Opel Astra,ST,MY14'5,1.6,Turbo,Start,&,Stop,170,Cv,M6,6.1,144,B
Opel Astra,ST,MY14.5,1.4,Turbo,140,Cv,M6,GLP,(CO2,128),8.22,128,NA
Opel Astra,ST,MY145,"1.4,Turbo,140,Cv,A6,,7.1,167,C
Opel Astra,ST,MY145,1.4,Turbo,140,Cv,A6,6.8,159,C
Opel Astra,ST,MY15'5,1.4,Turbo,140,Cv,M6,GLP,7.66,119,NA
Opel Astra,ST,NG,1.0,Turbo,Start,&,Stop,105,Cv,M5,4.6,105,A
Opel Astra,ST,NG,1.0,Turbo,Start,&,Stop,105,Cv,M5,4.5,103,A
Opel Astra,ST,NG,1.0,Turbo,Start,&,Stop,105,Cv,M5,(llanta,15),4.3,100,A
Opel Astra,ST,NG,1.0,Turbo,Start,&,Stop,105,Cv,MTA4.3,100,A
Opel Astra,ST,NG,1.0,Turbo,Start,&,Stop,105,Cv,MTA4.6,105,A
Opel Astra,ST,NG,1.4,Turbo,Start,&,Stop,125,Cv,M6,5.1,117,A
Opel Astra,ST,NG,1.4,Turbo,Start,&,Stop,150,Cv,A6,5.6,128,A
Opel Astra,ST,NG,1.4,Turbo,Start,&,Stop,150,Cv,M6,5.1,117,A
Opel Astra,ST,NG,1.6,CDTI,110,Cv,M6,3.8,99,A
Opel Astra,ST,NG,1.6,CDTI,136,Cv,A6,4.6,122,B
Opel Astra,ST,NG,1.6,CDTI,95,Cv,3.8,99,A
Opel Astra,ST,NG,1.6,CDTI,Start,&,Stop,136,Cv,M6,3.9,104,A
Opel Astra,ST,NG,1.6,CDTI,Start,&,Stop,160,Cv,M6,4.2,112,A
Opel Astra,ST,NG,1.6,Turbo,Start,&,Stop,200,Cv,M6,6.2,142,B
Opel Astra,ST,NG,1.6,Turbo,Start,&,Stop,200,Cv,M6,6.2,143,B
Opel Astra,ST,NG,MY17'5,1.6,Turbo,Start,&,Stop,200,Cv,M6,6.2,142,B
Opel Astra,ST,NG,MY18,1.0,Turbo,Start,&,Stop,105,Cv,M5,4.6,105,A
Opel Astra,ST,NG,MY18,1.0,Turbo,Start,&,Stop,105,Cv,M5,4.5,103,A
Opel Astra,ST,NG,MY18,1.0,Turbo,Start,&,Stop,105,Cv,MTA4.6,105,A
Opel Astra,ST,NG,MY18,1.6,CDTI,95,Cv,3.8,99,A
Opel Cabrio,"1.4,Turbo,Start,&,Stop,140,Cv,M6,,6.5,149,B
Opel Cabrio,1.4,Turbo,Start,&,Stop,140,Cv,M6,6.3,148,B
Opel Cabrio,1.4,Turbo,Start,&,Stop,140,Cv,M6,,6.3,149,B
Opel Cabrio,1.6,Turbo,170,Cv,A6,7.3,172,C
Opel Cabrio,1.6,Turbo,170,Cv,A6,7.6,176,D
Opel Cabrio,1.6,Turbo,170,Cv,A6,,7.2,169,C
Opel Cabrio,1.6,Turbo,Start,&,Stop,200,Cv,M6,6.9,158,C
Opel Cabrio,2.0,CDTI,165,Cv,A6,6.2,163,D
Opel Cabrio,2.0,CDTI,165,Cv,A6,,6.2,164,D
